year,model,terrain,engine_capacity,mpg,exterior_color,interior_color,gear_type,type_of_car,number_of_keys,price,miles
2017 CHEVROLET,SONIC,LT Sedan 4D,"4-Cyl, 1.8 Liter",24 City / 34 Hwy,Gray,Jet Black/Dark Titanium,"Automatic, 6-Spd",4 Door Sedan,1,"$11,990 ","| 47,744 miles"
2019 HYUNDAI,ACCENT,SE Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 38 Hwy,Silver,Black,"Automatic, 6-Spd W/Overdrive & Shiftronic",4 Door Sedan,1,"$13,590 ","| 33,810 miles"
2019 KIA,RIO,LX Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Black,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,1,"$12,990 ","| 15,295 miles"
2018 KIA,NIRO,LX Wagon 4D,"4-Cyl, Hybrid, 1.6 Liter",51 City / 46 Hwy,Gray,Gray,"Automatic, 6-Spd W/Dual-Clutch & Sportmatic",4 Door Wagon,1,"$17,590 ","| 23,947 miles"
2016 HONDA,HR-V,EX-L Sport Utility 4D,"4-Cyl, I-VTEC, 1.8 Liter",27 City / 32 Hwy,Gray,Black,"Auto, CVT W/Sport Mode",4 Door SUV,1,"$18,990 ","| 14,756 miles"
2020 VOLVO,S60,T6 Momentum Sedan 4D ,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",21 City / 32 Hwy,Gray,Black,"Automatic, 8-Spd Geartronic W/Adaptive Shift",4 Door Sedan,1,"$30,990 "," 12,505 miles"
2014 MERCEDES-BENZ,E-CLASS,E 350 Sedan 4D,"V6, 3.5 Liter",21 City / 30 Hwy,White,Black,"Auto, 7-Spd Sport Mode",4 Door Sedan,1,"$18,990 ","| 85,002 miles"
2018 CADILLAC,CTS,2.0 Luxury Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",21 City / 29 Hwy,Gray,Jet Black With Jet Black Accents,"Automatic, 8-Spd",4 Door Sedan,2,"$30,990 "," 17,375 miles"
2018 MERCEDES-BENZ,GLA,GLA 250 Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",24 City / 33 Hwy,Black,Black,"Auto, 7-Spd Dual-Clutch",4 Door SUV,1,"$23,990 ","| 63,713 miles"
2017 CHRYSLER,PACIFICA,Touring-L Plus Minivan 4D,"V6, 3.6 Liter",18 City / 28 Hwy,White,Black / Alloy Interior Color,"Automatic, 9-Spd",4 Door Minivan,1,"$23,990 ","| 46,277 miles"
2017 CHEVROLET,TRAVERSE,LT Sport Utility 4D,"V6, 3.6 Liter",15 City / 22 Hwy,Black,Ebony,"Automatic, 6-Spd",4 Door SUV,1,"$20,990 ","| 53,488 miles"
2017 VOLKSWAGEN,PASSAT,1.8T SE Sedan 4D,"4-Cyl, Turbo, 1.8 Liter",23 City / 34 Hwy,Gray,Moonrock Gray W/ Quartz Piping,"Auto, 6-Spd Tiptronic Spt",4 Door Sedan,1,"$16,590 ","| 30,112 miles"
2018 ALFA_ROMEO,STELVIO,Ti Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 28 Hwy,Black,Black/Black Interior Colors,"Automatic, 8-Spd",4 Door SUV,1,"$30,590 ","| 24,713 miles"
2017 NISSAN,FRONTIER KING CAB,SV Pickup 2D 6 ft,"V6, 4.0 Liter",15 City / 21 Hwy,White,Beige,"Automatic, 5-Spd",2 Door Truck,2,"$22,990 ","| 66,011 miles"
2019 FORD,ECOSPORT,Titanium Sport Utility 4D,"4-Cyl, 2.0 Liter",23 City / 29 Hwy,Black,Black,"Automatic, 6-Spd W/SelectShift",4 Door SUV,1,"$17,990 ","| 38,507 miles"
2014 LINCOLN,MKZ,Hybrid Sedan 4D,"4-Cyl, Hybrid, 2.0 Liter",38 City / 37 Hwy,Red,Beige,"Automatic, CVT",4 Door Sedan,1,"$16,590 ","| 56,937 miles"
2015 HONDA,FIT,EX Hatchback 4D,"4-Cyl, I-VTEC, 1.5 Liter",32 City / 38 Hwy,Silver,Black,"Auto, CVT G-Shft Ctrl",4 Door Hatchback,1,"$14,990 ","| 32,002 miles"
2013 CADILLAC,ATS,2.5L Standard Sedan 4D,"4-Cyl, 2.5 Liter",22 City / 33 Hwy,White,Caramel W/Jet Black Accents,"Automatic, 6-Spd",4 Door Sedan,1,"$13,990 ","| 89,054 miles"
2018 SUBARU,LEGACY,2.5i Premium Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",25 City / 34 Hwy,Red,Ivy,"Auto, CVT W/Manual Mode",4 Door Sedan,2,"$18,990 ","| 22,472 miles"
2020 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",33 City / 41 Hwy,Blue,Black,"Automatic, IVT",4 Door Sedan,1,"$14,990 ","| 12,135 miles"
2017 LINCOLN,MKC,Select Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Black,Black,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$20,590 ","| 44,923 miles"
2014 KIA,CADENZA,Premium Sedan 4D,"V6, GDI, 3.3 Liter",19 City / 28 Hwy,White,Black,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$14,590 ","| 80,531 miles"
2014 VOLVO,S80,3.2 Sedan 4D,"6-Cyl, 3.2 Liter",20 City / 29 Hwy,Silver,Black,"Automatic, 6-Spd Geartronic",4 Door Sedan,1,"$14,990 ","| 52,859 miles"
2015 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 34 Hwy,Red,Titan Black Cloth,"Manual, 6-Spd",4 Door Sedan,2,"$17,990 ","| 46,650 miles"
2015 AUDI,TT,Quattro Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Black,Brown,"Auto, 6-Spd D-Cltch Strnc",2 Door Convertible,1,"$25,990 ","| 43,613 miles"
2016 DODGE,CHARGER,SXT Sedan 4D,"V6, 3.6 Liter",19 City / 31 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990 ","| 49,273 miles"
2011 CHEVROLET,IMPALA,LT Sedan 4D,"V6, Flex Fuel, 3.5 Liter",19 City / 29 Hwy,White,Lt. Brown,"Automatic, 4-Spd W/Overdrive",4 Door Sedan,2,"$10,990 ","| 77,711 miles"
2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Blue,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,590 ","| 35,818 miles"
2013 CADILLAC,XTS,Luxury Collection Sedan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 26 Hwy,Gold,Shale/Cocoa,"Automatic, 6-Spd",4 Door Sedan,2,"$16,590 ","| 83,798 miles"
2013 LINCOLN,MKX,Sport Utility 4D,"V6, 3.7 Liter",17 City / 23 Hwy,Blue,Beige,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$17,990 ","| 72,241 miles"
2019 KIA,FORTE,S Sedan 4D,"4-Cyl, 2.0 Liter",30 City / 40 Hwy,White,Black,"Automatic, I-CVT",4 Door Sedan,1,"$16,590 ","| 7,654 miles"
2019 INFINITI,QX60,PURE Sport Utility 4D,"V6, 3.5 Liter",20 City / 27 Hwy,Black,Black,"Automatic, CVT W/Manual Mode",4 Door SUV,1,"$26,990 ","| 42,730 miles"
2015 MERCEDES-BENZ,E-CLASS,E 350 4MATIC Sedan 4D,"V6, 3.5 Liter",20 City / 28 Hwy,Gray,Beige,"Auto, 7-Spd Spt & Economy",4 Door Sedan,1,"$21,990 ","| 69,739 miles"
2019 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Silver,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,2,"$13,990 ","| 13,957 miles"
2010 MERCEDES-BENZ,E-CLASS,E 550 Sedan 4D,"V8, 5.5 Liter",16 City / 24 Hwy,Gray,Almond Beige Leather,"Auto, 7-Spd Touch Shift",4 Door Sedan,2,"$17,990 ","| 17,865 miles"
2020 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",33 City / 41 Hwy,Blue,Black,"Automatic, IVT",4 Door Sedan,1,"$14,990 ","| 12,135 miles"
2017 LINCOLN,MKC,Select Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Black,Black,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$20,590 ","| 44,923 miles"
2014 KIA,CADENZA,Premium Sedan 4D,"V6, GDI, 3.3 Liter",19 City / 28 Hwy,White,Black,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$14,590 ","| 80,531 miles"
2014 VOLVO,S80,3.2 Sedan 4D,"6-Cyl, 3.2 Liter",20 City / 29 Hwy,Silver,Black,"Automatic, 6-Spd Geartronic",4 Door Sedan,1,"$14,990 ","| 52,859 miles"
2015 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 34 Hwy,Red,Titan Black Cloth,"Manual, 6-Spd",4 Door Sedan,2,"$17,990 ","| 46,650 miles"
2015 AUDI,TT,Quattro Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Black,Brown,"Auto, 6-Spd D-Cltch Strnc",2 Door Convertible,1,"$25,990 ","| 43,613 miles"
2016 DODGE,CHARGER,SXT Sedan 4D,"V6, 3.6 Liter",19 City / 31 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990 ","| 49,273 miles"
2011 CHEVROLET,IMPALA,LT Sedan 4D,"V6, Flex Fuel, 3.5 Liter",19 City / 29 Hwy,White,Lt. Brown,"Automatic, 4-Spd W/Overdrive",4 Door Sedan,2,"$10,990 ","| 77,711 miles"
2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Blue,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,590 ","| 35,818 miles"
2013 CADILLAC,XTS,Luxury Collection Sedan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 26 Hwy,Gold,Shale/Cocoa,"Automatic, 6-Spd",4 Door Sedan,2,"$16,590 ","| 83,798 miles"
2013 LINCOLN,MKX,Sport Utility 4D,"V6, 3.7 Liter",17 City / 23 Hwy,Blue,Beige,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$17,990 ","| 72,241 miles"
2019 KIA,FORTE,S Sedan 4D,"4-Cyl, 2.0 Liter",30 City / 40 Hwy,White,Black,"Automatic, I-CVT",4 Door Sedan,1,"$16,590 ","| 7,654 miles"
2019 INFINITI,QX60,PURE Sport Utility 4D,"V6, 3.5 Liter",20 City / 27 Hwy,Black,Black,"Automatic, CVT W/Manual Mode",4 Door SUV,1,"$26,990 ","| 42,730 miles"
2015 MERCEDES-BENZ,E-CLASS,E 350 4MATIC Sedan 4D,"V6, 3.5 Liter",20 City / 28 Hwy,Gray,Beige,"Auto, 7-Spd Spt & Economy",4 Door Sedan,1,"$21,990 ","| 69,739 miles"
2019 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Silver,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,2,"$13,990 ","| 13,957 miles"
2010 MERCEDES-BENZ,E-CLASS,E 550 Sedan 4D,"V8, 5.5 Liter",16 City / 24 Hwy,Gray,Almond Beige Leather,"Auto, 7-Spd Touch Shift",4 Door Sedan,2,"$17,990 ","| 17,865 miles"
2012 SUBARU,LEGACY,2.5i Premium Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",23 City / 31 Hwy,Gray,Black,"Auto, CVT Manual Mode",4 Door Sedan,1,"$13,990 ","| 44,346 miles"
2014 VOLKSWAGEN,BEETLE,2.5L Convertible 2D,"5-Cyl, 2.5 Liter",21 City / 27 Hwy,Brown,Beige,"Auto, 6-Spd Tiptronic",2 Door Convertible,2,"$16,590 ","| 48,210 miles"
2017 CHEVROLET,TRAVERSE,LT Sport Utility 4D ,"V6, 3.6 Liter",15 City / 22 Hwy,Silver,Ebony,"Automatic, 6-Spd",4 Door SUV,2,"$21,590 "," 36,411 miles"
2020 FORD,EDGE,Titanium Sport Utility 4D,"4-Cyl, EcoBoost, Turbo, 2.0 Liter",21 City / 28 Hwy,Black,Black,"Automatic, 8-Spd",4 Door SUV,1,"$29,990 ","| 25,966 miles"
2020 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",33 City / 41 Hwy,Blue,Black,"Automatic, IVT",4 Door Sedan,1,"$14,990 ","| 12,135 miles"
2017 LINCOLN,MKC,Select Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Black,Black,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$20,590 ","| 44,923 miles"
2014 KIA,CADENZA,Premium Sedan 4D,"V6, GDI, 3.3 Liter",19 City / 28 Hwy,White,Black,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$14,590 ","| 80,531 miles"
2014 VOLVO,S80,3.2 Sedan 4D,"6-Cyl, 3.2 Liter",20 City / 29 Hwy,Silver,Black,"Automatic, 6-Spd Geartronic",4 Door Sedan,1,"$14,990 ","| 52,859 miles"
2015 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 34 Hwy,Red,Titan Black Cloth,"Manual, 6-Spd",4 Door Sedan,2,"$17,990 ","| 46,650 miles"
2015 AUDI,TT,Quattro Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Black,Brown,"Auto, 6-Spd D-Cltch Strnc",2 Door Convertible,1,"$25,990 ","| 43,613 miles"
2016 DODGE,CHARGER,SXT Sedan 4D,"V6, 3.6 Liter",19 City / 31 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990 ","| 49,273 miles"
2011 CHEVROLET,IMPALA,LT Sedan 4D,"V6, Flex Fuel, 3.5 Liter",19 City / 29 Hwy,White,Lt. Brown,"Automatic, 4-Spd W/Overdrive",4 Door Sedan,2,"$10,990 ","| 77,711 miles"
2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Blue,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,590 ","| 35,818 miles"
2013 CADILLAC,XTS,Luxury Collection Sedan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 26 Hwy,Gold,Shale/Cocoa,"Automatic, 6-Spd",4 Door Sedan,2,"$16,590 ","| 83,798 miles"
2013 LINCOLN,MKX,Sport Utility 4D,"V6, 3.7 Liter",17 City / 23 Hwy,Blue,Beige,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$17,990 ","| 72,241 miles"
2019 KIA,FORTE,S Sedan 4D,"4-Cyl, 2.0 Liter",30 City / 40 Hwy,White,Black,"Automatic, I-CVT",4 Door Sedan,1,"$16,590 ","| 7,654 miles"
2019 INFINITI,QX60,PURE Sport Utility 4D,"V6, 3.5 Liter",20 City / 27 Hwy,Black,Black,"Automatic, CVT W/Manual Mode",4 Door SUV,1,"$26,990 ","| 42,730 miles"
2015 MERCEDES-BENZ,E-CLASS,E 350 4MATIC Sedan 4D,"V6, 3.5 Liter",20 City / 28 Hwy,Gray,Beige,"Auto, 7-Spd Spt & Economy",4 Door Sedan,1,"$21,990 ","| 69,739 miles"
2019 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Silver,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,2,"$13,990 ","| 13,957 miles"
2010 MERCEDES-BENZ,E-CLASS,E 550 Sedan 4D,"V8, 5.5 Liter",16 City / 24 Hwy,Gray,Almond Beige Leather,"Auto, 7-Spd Touch Shift",4 Door Sedan,2,"$17,990 ","| 17,865 miles"
2012 SUBARU,LEGACY,2.5i Premium Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",23 City / 31 Hwy,Gray,Black,"Auto, CVT Manual Mode",4 Door Sedan,1,"$13,990 ","| 44,346 miles"
2014 VOLKSWAGEN,BEETLE,2.5L Convertible 2D,"5-Cyl, 2.5 Liter",21 City / 27 Hwy,Brown,Beige,"Auto, 6-Spd Tiptronic",2 Door Convertible,2,"$16,590 ","| 48,210 miles"
2017 CHEVROLET,TRAVERSE,LT Sport Utility 4D ,"V6, 3.6 Liter",15 City / 22 Hwy,Silver,Ebony,"Automatic, 6-Spd",4 Door SUV,2,"$21,590 "," 36,411 miles"
2020 FORD,EDGE,Titanium Sport Utility 4D,"4-Cyl, EcoBoost, Turbo, 2.0 Liter",21 City / 28 Hwy,Black,Black,"Automatic, 8-Spd",4 Door SUV,1,"$29,990 ","| 25,966 miles"
2020 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",33 City / 41 Hwy,Blue,Black,"Automatic, IVT",4 Door Sedan,1,"$14,990 ","| 12,135 miles"
2017 LINCOLN,MKC,Select Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Black,Black,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$20,590 ","| 44,923 miles"
2014 KIA,CADENZA,Premium Sedan 4D,"V6, GDI, 3.3 Liter",19 City / 28 Hwy,White,Black,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$14,590 ","| 80,531 miles"
2014 VOLVO,S80,3.2 Sedan 4D,"6-Cyl, 3.2 Liter",20 City / 29 Hwy,Silver,Black,"Automatic, 6-Spd Geartronic",4 Door Sedan,1,"$14,990 ","| 52,859 miles"
2015 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 34 Hwy,Red,Titan Black Cloth,"Manual, 6-Spd",4 Door Sedan,2,"$17,990 ","| 46,650 miles"
2015 AUDI,TT,Quattro Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Black,Brown,"Auto, 6-Spd D-Cltch Strnc",2 Door Convertible,1,"$25,990 ","| 43,613 miles"
2016 DODGE,CHARGER,SXT Sedan 4D,"V6, 3.6 Liter",19 City / 31 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990 ","| 49,273 miles"
2011 CHEVROLET,IMPALA,LT Sedan 4D,"V6, Flex Fuel, 3.5 Liter",19 City / 29 Hwy,White,Lt. Brown,"Automatic, 4-Spd W/Overdrive",4 Door Sedan,2,"$10,990 ","| 77,711 miles"
2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Blue,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,590 ","| 35,818 miles"
2013 CADILLAC,XTS,Luxury Collection Sedan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 26 Hwy,Gold,Shale/Cocoa,"Automatic, 6-Spd",4 Door Sedan,2,"$16,590 ","| 83,798 miles"
2013 LINCOLN,MKX,Sport Utility 4D,"V6, 3.7 Liter",17 City / 23 Hwy,Blue,Beige,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$17,990 ","| 72,241 miles"
2019 KIA,FORTE,S Sedan 4D,"4-Cyl, 2.0 Liter",30 City / 40 Hwy,White,Black,"Automatic, I-CVT",4 Door Sedan,1,"$16,590 ","| 7,654 miles"
2019 INFINITI,QX60,PURE Sport Utility 4D,"V6, 3.5 Liter",20 City / 27 Hwy,Black,Black,"Automatic, CVT W/Manual Mode",4 Door SUV,1,"$26,990 ","| 42,730 miles"
2015 MERCEDES-BENZ,E-CLASS,E 350 4MATIC Sedan 4D,"V6, 3.5 Liter",20 City / 28 Hwy,Gray,Beige,"Auto, 7-Spd Spt & Economy",4 Door Sedan,1,"$21,990 ","| 69,739 miles"
2019 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Silver,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,2,"$13,990 ","| 13,957 miles"
2010 MERCEDES-BENZ,E-CLASS,E 550 Sedan 4D,"V8, 5.5 Liter",16 City / 24 Hwy,Gray,Almond Beige Leather,"Auto, 7-Spd Touch Shift",4 Door Sedan,2,"$17,990 ","| 17,865 miles"
2012 SUBARU,LEGACY,2.5i Premium Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",23 City / 31 Hwy,Gray,Black,"Auto, CVT Manual Mode",4 Door Sedan,1,"$13,990 ","| 44,346 miles"
2014 VOLKSWAGEN,BEETLE,2.5L Convertible 2D,"5-Cyl, 2.5 Liter",21 City / 27 Hwy,Brown,Beige,"Auto, 6-Spd Tiptronic",2 Door Convertible,2,"$16,590 ","| 48,210 miles"
2017 CHEVROLET,TRAVERSE,LT Sport Utility 4D ,"V6, 3.6 Liter",15 City / 22 Hwy,Silver,Ebony,"Automatic, 6-Spd",4 Door SUV,2,"$21,590 "," 36,411 miles"
2020 FORD,EDGE,Titanium Sport Utility 4D,"4-Cyl, EcoBoost, Turbo, 2.0 Liter",21 City / 28 Hwy,Black,Black,"Automatic, 8-Spd",4 Door SUV,1,"$29,990 ","| 25,966 miles"
2020 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",33 City / 41 Hwy,Blue,Black,"Automatic, IVT",4 Door Sedan,1,"$14,990 ","| 12,135 miles"
2017 LINCOLN,MKC,Select Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Black,Black,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$20,590 ","| 44,923 miles"
2014 KIA,CADENZA,Premium Sedan 4D,"V6, GDI, 3.3 Liter",19 City / 28 Hwy,White,Black,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$14,590 ","| 80,531 miles"
2014 VOLVO,S80,3.2 Sedan 4D,"6-Cyl, 3.2 Liter",20 City / 29 Hwy,Silver,Black,"Automatic, 6-Spd Geartronic",4 Door Sedan,1,"$14,990 ","| 52,859 miles"
2015 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 34 Hwy,Red,Titan Black Cloth,"Manual, 6-Spd",4 Door Sedan,2,"$17,990 ","| 46,650 miles"
2015 AUDI,TT,Quattro Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Black,Brown,"Auto, 6-Spd D-Cltch Strnc",2 Door Convertible,1,"$25,990 ","| 43,613 miles"
2016 DODGE,CHARGER,SXT Sedan 4D,"V6, 3.6 Liter",19 City / 31 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990 ","| 49,273 miles"
2011 CHEVROLET,IMPALA,LT Sedan 4D,"V6, Flex Fuel, 3.5 Liter",19 City / 29 Hwy,White,Lt. Brown,"Automatic, 4-Spd W/Overdrive",4 Door Sedan,2,"$10,990 ","| 77,711 miles"
2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Blue,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,590 ","| 35,818 miles"
2013 CADILLAC,XTS,Luxury Collection Sedan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 26 Hwy,Gold,Shale/Cocoa,"Automatic, 6-Spd",4 Door Sedan,2,"$16,590 ","| 83,798 miles"
2013 LINCOLN,MKX,Sport Utility 4D,"V6, 3.7 Liter",17 City / 23 Hwy,Blue,Beige,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$17,990 ","| 72,241 miles"
2019 KIA,FORTE,S Sedan 4D,"4-Cyl, 2.0 Liter",30 City / 40 Hwy,White,Black,"Automatic, I-CVT",4 Door Sedan,1,"$16,590 ","| 7,654 miles"
2019 INFINITI,QX60,PURE Sport Utility 4D,"V6, 3.5 Liter",20 City / 27 Hwy,Black,Black,"Automatic, CVT W/Manual Mode",4 Door SUV,1,"$26,990 ","| 42,730 miles"
2015 MERCEDES-BENZ,E-CLASS,E 350 4MATIC Sedan 4D,"V6, 3.5 Liter",20 City / 28 Hwy,Gray,Beige,"Auto, 7-Spd Spt & Economy",4 Door Sedan,1,"$21,990 ","| 69,739 miles"
2019 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Silver,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,2,"$13,990 ","| 13,957 miles"
2010 MERCEDES-BENZ,E-CLASS,E 550 Sedan 4D,"V8, 5.5 Liter",16 City / 24 Hwy,Gray,Almond Beige Leather,"Auto, 7-Spd Touch Shift",4 Door Sedan,2,"$17,990 ","| 17,865 miles"
2012 SUBARU,LEGACY,2.5i Premium Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",23 City / 31 Hwy,Gray,Black,"Auto, CVT Manual Mode",4 Door Sedan,1,"$13,990 ","| 44,346 miles"
2014 VOLKSWAGEN,BEETLE,2.5L Convertible 2D,"5-Cyl, 2.5 Liter",21 City / 27 Hwy,Brown,Beige,"Auto, 6-Spd Tiptronic",2 Door Convertible,2,"$16,590 ","| 48,210 miles"
2017 CHEVROLET,TRAVERSE,LT Sport Utility 4D ,"V6, 3.6 Liter",15 City / 22 Hwy,Silver,Ebony,"Automatic, 6-Spd",4 Door SUV,2,"$21,590 "," 36,411 miles"
2020 FORD,EDGE,Titanium Sport Utility 4D,"4-Cyl, EcoBoost, Turbo, 2.0 Liter",21 City / 28 Hwy,Black,Black,"Automatic, 8-Spd",4 Door SUV,1,"$29,990 ","| 25,966 miles"
2020 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",33 City / 41 Hwy,Blue,Black,"Automatic, IVT",4 Door Sedan,1,"$14,990 ","| 12,135 miles"
2017 LINCOLN,MKC,Select Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Black,Black,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$20,590 ","44,923 miles"
2014 KIA,CADENZA,Premium Sedan 4D,"V6, GDI, 3.3 Liter",19 City / 28 Hwy,White,Black,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$14,590 ","80,531 miles"
2014 VOLVO,S80,3.2 Sedan 4D,"6-Cyl, 3.2 Liter",20 City / 29 Hwy,Silver,Black,"Automatic, 6-Spd Geartronic",4 Door Sedan,1,"$14,990 ","52,859 miles"
2015 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 34 Hwy,Red,Titan Black Cloth,"Manual, 6-Spd",4 Door Sedan,2,"$17,990 ","46,650 miles"
2015 AUDI,TT,Quattro Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Black,Brown,"Auto, 6-Spd D-Cltch Strnc",2 Door Convertible,1,"$25,990 ","43,613 miles"
2016 DODGE,CHARGER,SXT Sedan 4D,"V6, 3.6 Liter",19 City / 31 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990 ","49,273 miles"
2011 CHEVROLET,IMPALA,LT Sedan 4D,"V6, Flex Fuel, 3.5 Liter",19 City / 29 Hwy,White,Lt. Brown,"Automatic, 4-Spd W/Overdrive",4 Door Sedan,2,"$10,990 ","77,711 miles"
2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Blue,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,590 ","35,818 miles"
2013 CADILLAC,XTS,Luxury Collection Sedan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 26 Hwy,Gold,Shale/Cocoa,"Automatic, 6-Spd",4 Door Sedan,2,"$16,590 ","83,798 miles"
